Route,gc,pvr_tenderroute,gc_last,duration,distance
100,A,9,Q,37.5,21463.5
100,AC,9,Q,32.8,16661.5
100,AD,9,Q,30.8,13066
100,AF,9,Q,29.55,13822
100,AH,9,Q,36.15,18846.5
100,AL,9,Q,31.9,16553
100,AR,9,Q,26.05,10314.5
100,AV,9,Q,39.85,22590.5
100,AW,9,Q,28.55,18375
100,BC,9,Q,37.6,19794.5
100,BK,9,Q,24.1,15529
100,BN,9,Q,21.3,10963
100,BT,9,Q,39.1,22354
100,BW,9,Q,14.05,6111.5
100,BX,9,Q,30.45,23160.5
100,C,9,Q,37.2,18971.5
100,CT,9,Q,14.2,5593.5
100,DT,9,Q,33.95,25569.5
100,DX,9,Q,21.4,14522.5
100,E,9,Q,35.3,21637
100,EB,9,Q,46.9,27078.5
100,FW,9,Q,45.5,25318
100,G,9,Q,38.7,22702
100,GY,9,Q,30.2,25574
100,HD,9,Q,44.5,26802
100,HF,9,Q,44,22949.5
100,HH,9,Q,44.85,26672
100,HK,9,Q,10.2,3963.5
100,HT,9,Q,20.85,8357.5
100,KB,9,Q,30.8,17042.5
100,KC,9,Q,15.45,5972.5
100,LI,9,Q,18.65,9664
100,MB,9,Q,40.2,25840
100,MG,9,Q,17.35,8642.5
100,MR,9,Q,36.35,23585.5
100,N,9,Q,25.6,13065
100,NP,9,Q,29.25,12706
100,NS,9,Q,32.5,23694
100,NX,9,Q,15.65,7633
100,ON,9,Q,33.9,18639
100,PA,9,Q,36.4,20273
100,PB,9,Q,44.35,25614.5
100,PD,9,Q,27.35,14662.5
100,PL,9,Q,30,15375
100,PM,9,Q,17.15,7418.5
100,Q,9,Q,15.9,7233.5
100,QB,9,Q,20,9746
100,RA,9,Q,10.7,4213
100,RM,9,Q,28.2,21022
100,RP,9,Q,32.4,16408.5
100,RR,9,Q,21.2,13946
100,S,9,Q,28,12416
100,SG,9,Q,38.55,22376.5
100,SI,9,Q,19.9,10461
100,SO,9,Q,43.55,25992
100,SW,9,Q,14.5,7307.5
100,T,9,Q,21.65,11713
100,TB,9,Q,36.5,21962
100,TC,9,Q,39.3,21572.5
100,TF,9,Q,45.95,25426
100,TH,9,Q,31.4,16578
100,TL,9,Q,25.9,15074
100,TV,9,Q,41.6,27106
100,UX,9,Q,47.4,32009
100,V,9,Q,30.05,13944
100,W,9,Q,31.65,13752.5
100,WH,9,Q,15.65,7751.5
100,WJ,9,Q,29.9,14923
100,WL,9,Q,15.6,7551
100,WN,9,Q,27.7,11286
100,WS,9,Q,41.65,26886.5
100,X,9,Q,26.3,13401.5
101,A,12,RR,54.25,32484
101,AC,12,RR,36.6,32108
101,AD,12,RR,18.5,17268.5
101,AF,12,RR,46.45,26476.5
101,AH,12,RR,49.3,41762.5
101,AL,12,RR,48.65,27573.5
101,AR,12,RR,21,17586
101,AV,12,RR,53.3,45453.5
101,AW,12,RR,11.4,9993.5
101,BC,12,RR,52.85,34728
101,BK,12,RR,9.7,6844.5
101,BN,12,RR,38.1,21983
101,BT,12,RR,36.5,32936
101,BW,12,RR,12.5,9462.5
101,BX,12,RR,30.5,27273
101,C,12,RR,53.1,35107.5
101,CT,12,RR,15.4,10741.5
101,DT,12,RR,33.95,29681
101,DX,12,RR,8.65,7734
101,E,12,RR,20.6,17613.5
101,EB,12,RR,63.7,38099
